Palabra		   Apariciones
rincorrere              1
rintronare              1
ripetergli              1
ripetevano              1
ripigliate              1
ripigliava              1
riposeremo              1
ripostigli              1
riprendere              1
ripulitosi              1
risalirono              1
riscaldare              1
rispettate              1
rispettato              1
rispettosa              1
rispondero              1
ritornando              1
ritornerai              1
rivoltarmi              1
rompicolli              1
rompicollo              1
raggiunta               1
ragionare               1
ranocchio               1
rantolosa               1
raramente               1
rassereno               1
resistere               1
resistito               1
respirare               1
respirava               1
rialzando               1
ribellano               1
ricavarlo               1
riconosci               1
riconosco               1
ricopriva               1
ricordato               1
ricordero               1
ricorrere               1
rientrino               1
rifiatare               1
rigagnolo               1
rimanesse               1
rimanesti               1
rimarremo               1
rimettere               1
rinascere               1
rinchiuse               1
ringhioso               1
ringrazia               1
ripartire               1
ripescare               1
ripiegate               1
ripiegato               1
ripigliar               1
riportato               1
riposarci               1
risatacce               1
risolviti               1
ritentare               1
ritrovata               1
ritrovato               1
rivedremo               1
rivendere               1
rivendero               1
rivendilo               1
rivivisci               1
rabbiosi                1
raccogli                1
raccolta                1
raccolto                1
racconti                1
raccorci                1
ragliato                1
rallegro                1
ranocchi                1
recitare                1
recitava                1
regalata                1
regalate                1
regalava                1
regalero                1
relativi                1
restando                1
restarne                1
resterei                1
ribadita                1
ribadito                1
ricaccio                1
ricavava                1
ricusato                1
riempita                1
rifaceva                1
riflessa                1
rigirava                1
riluceva                1
rincorsa                1
ripetere                1
ripeteva                1
ripetono                1
ripetuto                1
riposero                1
risatona                1
risolino                1
risponde                1
risposte                1
ritornai                1
riusciti                1
riuscito                1
rivoglio                1
rosolare                1
rovescio                1
rovinato                1
ragiono                 1
ramarro                 1
reggeva                 1
regnava                 1
rendere                 1
rendeva                 1
restano                 1
ribalta                 1
ribatte                 1
ribelle                 1
ricadde                 1
ricasco                 1
ricolmo                 1
ricorda                 1
ridotto                 1
rifugio                 1
rimesse                 1
rimesso                 1
rinfusa                 1
ripiena                 1
ripieno                 1
ripresa                 1
riprova                 1
rischio                 1
risotto                 1
ritegno                 1
ritrovi                 1
riunite                 1
riuniti                 1
rivedro                 1
rivolse                 1
rivolto                 1
rizzati                 1
rizzava                 1
robusta                 1
rosaura                 1
rosolii                 1
rosolio                 1
russare                 1
russava                 1
ruzzare                 1
raglio                  1
rapina                  1
recito                  1
regali                  1
regole                  1
restar                  1
riceve                  1
ridera                  1
ridete                  1
rifece                  1
rigati                  1
ripeto                  1
rubati                  1
ragli                   1
rasoi                   1
rende                   1
ricca                   1
ritte                   1
ritti                   1
romeo                   1
rompi                   1
rossa                   1
rosse                   1
rotto                   1
ruote                   1
rado                    1
rame                    1
raro                    1
remo                    1
reni                    1
risa                    1
rise                    1
riso                    1
rose                    1
re                      1
